ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 02/06/2025;COBERTURA;IMPORTE AFILIADO
42415;betahistina;BETASERC;16 mg comp.x 30;Abbott EPD;$ 15305.04;50%;$ 7652.52
42416;betahistina;BETASERC;24 mg comp.x 30;Abbott EPD;$ 21242.19;50%;$ 10621.1
48040;betahistina;BETASERC;8 mg comp.x 30;Abbott EPD;$ 11882.18;50%;$ 5941.09
21735;candesartán cilexetil;TIADYL;16 mg comp.x 30;Abbott EPD;$ 51998.33;60%;$ 20799.33
21733;candesartán cilexetil;TIADYL;8 mg comp.x 30;Abbott EPD;$ 34670.74;60%;$ 13868.3
29638;candesartán+hidroclorotiazida;TIADYL PLUS;16 mg comp.x 30;Abbott EPD;$ 46797.93;60%;$ 18719.17
10202;claritromicina;KLARICID;125 mg/5 ml jbe.x 60 ml;Abbott EPD;$ 1258.68;60%;$ 503.47
15947;claritromicina;KLARICID;500 mg comp.x 16;Abbott EPD;$ 28833.97;60%;$ 11533.59
30818;claritromicina;KLARICID;500 mg comp.x 8;Abbott EPD;$ 17469.46;60%;$ 6987.78
12610;claritromicina;KLARICID;IV iny.f.a.x 1;Abbott EPD;$ 1198.74;60%;$ 479.5
22622;claritromicina;KLARICID UD;comp.x 5;Abbott EPD;$ 10536.92;60%;$ 4214.77
18811;claritromicina;KLARICID UD;comp.x 8;Abbott EPD;$ 16857.89;60%;$ 6743.16
18812;claritromicina;KLARICID FORTE;jbe.x 60 ml;Abbott EPD;$ 5734.16;60%;$ 2293.66
50821;clofedianol+bromhexina;COFRON;Ad.jbe.x 180 ml;Abbott EPD;$ 575.14;50%;$ 287.57
50823;clofedianol+bromhexina;COFRON;Ped.jbe.x 180 ml;Abbott EPD;$ 882.93;50%;$ 441.47
50820;clofedianol+bromhexina;COFRON;ad.jbe.x 100 ml;Abbott EPD;$ 8235.07;50%;$ 4117.54
50822;clofedianol+bromhexina;COFRON;ped.jbe.x 100 ml;Abbott EPD;$ 8235.07;50%;$ 4117.54
21875;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 15 g;Abbott EPD;$ 15154.93;60%;$ 6061.97
4640;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 30 g;Abbott EPD;$ 29848.7;60%;$ 11939.48
21877;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 50 g;Abbott EPD;$ 48385.26;60%;$ 19354.1
24710;enzimas digestivas;CREON 10000;cáps.x 100;Abbott EPD;$ 93029.16;50%;$ 46514.58
37388;enzimas digestivas;CREON 25000;cáps.x 100;Abbott EPD;$ 154308.46;50%;$ 77154.23
37387;enzimas digestivas;CREON 25000;cáps.x 50;Abbott EPD;$ 85630.47;50%;$ 42815.24
24709;enzimas digestivas;CREON 10000;cáps.x 50;Abbott EPD;$ 51439.19;50%;$ 25719.6
45275;fenofibrato;CONTROLIP;160 mg cáps.x 30;Abbott EPD;$ 35103.59;60%;$ 14041.44
49097;fluvoxamina;LUVOX;100 mg comp.ran.x 30;Abbott EPD;$ 36583.27;50%;$ 18291.64
49096;fluvoxamina;LUVOX;100 mg comp.rec.x 15;Abbott EPD;$ 489.56;50%;$ 244.78
19929;pinaverio,bromuro;DICETEL;100 mg comp.x 30;Abbott EPD;$ 25275.91;50%;$ 12637.96
19930;pinaverio,bromuro;DICETEL;100 mg comp.x 60;Abbott EPD;$ 48912.16;50%;$ 24456.08
4652;propafenona;NORMORYTMIN;150 mg comp.rec.x 20;Abbott EPD;$ 13167.41;60%;$ 5266.96
7781;propafenona;NORMORYTMIN;150 mg comp.rec.x 50;Abbott EPD;$ 28593.3;60%;$ 11437.32
4653;propafenona;NORMORYTMIN;300 mg comp.rec.x 20;Abbott EPD;$ 24714.3;60%;$ 9885.72
7783;propafenona;NORMORYTMIN;300 mg comp.rec.x 50;Abbott EPD;$ 53414.75;60%;$ 21365.9
8514;sodio,divalproato;VALCOTE;125 mg comp.x 50;Abbott EPD;$ 18495.28;80%;$ 3699.06
20089;sodio,divalproato;VALCOTE SPRINKLE;125 mg cáps.x 100;Abbott EPD;$ 53673.03;80%;$ 10734.61
20088;sodio,divalproato;VALCOTE SPRINKLE;125 mg cáps.x 50;Abbott EPD;$ 28027.91;80%;$ 5605.58
47171;sodio,divalproato;VALCOTE ER;250 mg comp.lib.cont.x50;Abbott EPD;$ 37454.29;80%;$ 7490.86
8518;sodio,divalproato;VALCOTE;250 mg comp.x 50;Abbott EPD;$ 31120.92;80%;$ 6224.18
29031;sodio,divalproato;VALCOTE ER;500 mg comp.lib.cont.x50;Abbott EPD;$ 66057.17;80%;$ 13211.43
8524;sodio,divalproato;VALCOTE;500 mg comp.x 50;Abbott EPD;$ 54882.41;80%;$ 10976.48
24301;sodio,divalproato;VALCOTE IV;iny.a.x 10 x 5 ml;Abbott EPD;$ 8485.24;80%;$ 1697.05
19;valproico,ác.;DEPAKENE;cáps.x 50;Abbott EPD;$ 17985.99;80%;$ 3597.2
21;valproico,ác.;DEPAKENE;jbe.x 120 ml;Abbott EPD;$ 9974.86;80%;$ 1994.97
4642;verapamilo;ISOPTINO RETARD;120 mg comp.rec.x 20;Abbott EPD;$ 17868.22;60%;$ 7147.29
2141;verapamilo;ISOPTINO MD;240 mg comp. rec.x 30;Abbott EPD;$ 41235.04;60%;$ 16494.02
20438;verapamilo;ISOPTINO;80 mg comp.rec.x 30;Abbott EPD;$ 12089.55;60%;$ 4835.82
46420;bimatoprost;LUMIGAN RC;0.01% fco.gotero x 3 ml;Abbvie Allergan;$ 34615.18;50%;$ 17307.59
28696;bimatoprost;LUMIGAN;0.03% sol.oft.x 3 ml;Abbvie Allergan;$ 30646.77;50%;$ 15323.39
39970;bimatoprost+timolol;GANFORT;sol.oft.x 3 ml;Abbvie Allergan;$ 33897.54;50%;$ 16948.77
52738;bimatoprost+timolol;GANFORT UD;sol.oft.x 30 ds.x 0.4 ml;Abbvie Allergan;$ 35068.61;50%;$ 17534.31
31189;brimonidina;ALPHAGAN P;sol.oft.x 5 ml;Abbvie Allergan;$ 27827.23;60%;$ 11130.89
19898;brimonidina;ALPHAGAN;sol.oft.x 5 ml;Abbvie Allergan;$ 23863.98;60%;$ 9545.59
37917;brimonidina+timolol;COMBIGAN;0.2%/0.5% gts.oft.x 5 ml;Abbvie Allergan;$ 30516.17;50%;$ 15258.09
51569;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 10 ml;Abbvie Allergan;$ 5084.83;50%;$ 2542.42
56822;carboximetilcelulosa sód.+asoc.;REFRESH FUSION;sol.oft.x 10 ml;Abbvie Allergan;$ 20668.73;50%;$ 10334.37
51599;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 15 ml;Abbvie Allergan;$ 5223.66;50%;$ 2611.83
37918;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 10 ml;Abbvie Allergan;$ 14083;50%;$ 7041.5
23975;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 15 ml;Abbvie Allergan;$ 20120.78;50%;$ 10060.39
32902;carboximetilcelulosa sódica;REFRESH LIQUIGEL;1% fco.gotero x 15 ml;Abbvie Allergan;$ 19205.05;50%;$ 9602.53
42509;ciclosporina;RESTASIS;viales x 30 unid.x 0.4ml;Abbvie Allergan;$ 41680.22;60%;$ 16672.09
41748;epinastina;RELESTAT;sol.oft.x 5 ml;Abbvie Allergan;$ 18359.81;50%;$ 9179.91
241;fluorometolona;F M L LIQUIFILM;susp.oft.x 10 ml;Abbvie Allergan;$ 12198.06;50%;$ 6099.03
242;fluorometolona+asoc.;F M L NEO LIQUIFILM;susp.oft.x 5 ml;Abbvie Allergan;$ 2199.19;50%;$ 1099.6
34168;gatifloxacina;ZYMARAN;0.3% sol.oft.x 5 ml;Abbvie Allergan;$ 26548.16;80%;$ 5309.63
47867;gatifloxacina;ZYMAXID;fco.gotero x 5 ml;Abbvie Allergan;$ 32587.58;80%;$ 6517.52
48712;gatifloxacina+prednisolona,acet.;ZYPRED;susp.oft.x 6 ml;Abbvie Allergan;$ 40649.22;50%;$ 20324.61
43004;glicerina+asoc.;OPTIVE;sol.oft.x 10 ml;Abbvie Allergan;$ 16335.68;50%;$ 8167.84
40574;glicerina+asoc.;OPTIVE;sol.oft.x 15 ml;Abbvie Allergan;$ 21465.52;50%;$ 10732.76
38945;ketorolac;ACULAR LS;sol.oft.x 5 ml;Abbvie Allergan;$ 16714.99;50%;$ 8357.5
15467;ketorolac;ACULAR;sol.oft.x 5 ml;Abbvie Allergan;$ 13931.38;50%;$ 6965.69
48009;ketorolac;ACUVAIL;viales unids.x 30 x0.4ml;Abbvie Allergan;$ 1118.2;50%;$ 559.1
19724;levobunolol;BETAGAN LIQUIFILM;0.50% sol.x 5 ml;Abbvie Allergan;$ 537.19;60%;$ 214.88
13697;ofloxacina;OFLOX;sol.oft.x 5 ml;Abbvie Allergan;$ 1674.46;60%;$ 669.78
